Record Id,Account Owner.id,Rating,Account Name,Phone,Fax,Parent Account.id,Website,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Layout.id,Account Number,Account Site,Score,Positive Score,Negative Score,Positive Touch Point Score,Touch Point Score,Negative Touch Point Score,Tag,Account Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Territories,Average monthly income,Expected retirement income,Pick List 1,Change Log Time,Dropbox Folder ID,Account Image,Locked,Last Enriched Time,Enrich Status,Record Status
zcrm_318358000000603009,zcrm_318358000000245015,,ESN Germany,,,,https://esn-germany.de/,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-13 15:36:19,2021-01-13 15:36:19,EUR,1.000000000,2021-01-13 16:14:10,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,,2021-01-13 15:14:10,,,,,,,,,false,,,Available
zcrm_318358000000676041,zcrm_318358000000245015,,Concious Birth,+491783013176,,,www.concious-birth.com,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-22 12:21:55,2021-01-22 12:21:55,EUR,1.000000000,2021-01-22 12:24:46,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,,2021-01-22 11:24:46,,,,,,,,,false,,,Available
zcrm_318358000000684002,zcrm_318358000000245015,,Deutsche Post MailingFactory,+4922818233600,,,MailingFactory.de,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-22 14:40:59,2021-01-22 14:40:59,EUR,1.000000000,2021-01-22 14:41:00,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,2021-01-22 13:41:00,,,,,,,,,false,,,Available
zcrm_318358000000856001,zcrm_318358000000245015,,Natalie Söll Vertrieb GmbH,+4992316682480,,,www.zoftware.org,,,,IT Services,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-12 16:27:59,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:27,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2021-03-23 15:32:44,2024-11-24 17:15:27,2022-09-04 12:32:52,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000001157001,zcrm_318358000000245015,,Bürogemeinschaft Luxemburgerstr. 55,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-03-24 19:17:23,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:32:08,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000001166060,zcrm_318358000000245015,,Structure Works GmbH,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-03-25 17:57:02,2021-03-25 17:57:02,EUR,1.000000000,,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000001215017,zcrm_318358000000245015,,Jade and Kevin,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-03-31 15:59:18,2021-03-31 15:59:18,EUR,1.000000000,2021-04-12 12:17:16,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,,2021-04-12 10:17:16,,,,,,,,,false,,,Available
zcrm_318358000001294034,zcrm_318358000000245015,,Kim Cuskelly,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-08 18:55:28,2021-04-08 18:55:28,EUR,1.000000000,2021-05-11 18:20:48,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,,2021-05-11 16:20:48,,,,,,,,,false,,,Available
zcrm_318358000001323001,zcrm_318358000000245015,,BKK Linde,+4977315919199,,zcrm_318358000001445008,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-12 18:35:11,2023-04-16 17:45:45,EUR,1.000000000,2023-04-16 17:45:45,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2021-04-28 14:30:28,2023-04-15 17:15:26,2022-09-04 12:32:52,2023-04-16 17:45:45,,,,,,,,false,,,Available
zcrm_318358000001323049,zcrm_318358000000245015,,Richard Davison,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-12 21:27:20,2021-04-12 21:27:20,EUR,1.000000000,2021-07-22 14:31:59,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,,2021-07-22 14:31:59,,,,,,,,,false,,,Available
