Member.id,Campaign.id,Contact.id,Member Status
zcrm_318358000006101796,zcrm_318358000001383047,zcrm_318358000006101782,Planned
zcrm_318358000006101816,zcrm_318358000001383047,zcrm_318358000006101802,Planned
zcrm_318358000006101836,zcrm_318358000001383047,zcrm_318358000006101822,Planned
zcrm_318358000006101856,zcrm_318358000001383047,zcrm_318358000006101842,Planned
zcrm_318358000006101876,zcrm_318358000001383047,zcrm_318358000006101862,Planned
zcrm_318358000006101896,zcrm_318358000001383047,zcrm_318358000006101882,Planned
zcrm_318358000006101916,zcrm_318358000001383047,zcrm_318358000006101902,Planned
zcrm_318358000006101936,zcrm_318358000001383047,zcrm_318358000006101922,Planned
zcrm_318358000006101956,zcrm_318358000001383047,zcrm_318358000006101942,Planned
zcrm_318358000006101976,zcrm_318358000001383047,zcrm_318358000006101962,Planned
zcrm_318358000006101996,zcrm_318358000001383047,zcrm_318358000006101982,Planned
zcrm_318358000006116239,zcrm_318358000001383047,zcrm_318358000006116225,Planned
zcrm_318358000006116259,zcrm_318358000001383047,zcrm_318358000006116245,Planned
zcrm_318358000006116279,zcrm_318358000001383047,zcrm_318358000006116265,Planned
zcrm_318358000006116299,zcrm_318358000001383047,zcrm_318358000006116285,Planned
zcrm_318358000006116319,zcrm_318358000001383047,zcrm_318358000006116305,Planned
zcrm_318358000006116339,zcrm_318358000001383047,zcrm_318358000006116325,Planned
zcrm_318358000006116359,zcrm_318358000001383047,zcrm_318358000006116345,Planned
zcrm_318358000006116379,zcrm_318358000001383047,zcrm_318358000006116365,Planned
zcrm_318358000006116399,zcrm_318358000001383047,zcrm_318358000006116385,Planned
zcrm_318358000006116419,zcrm_318358000001383047,zcrm_318358000006116405,Planned
zcrm_318358000006116439,zcrm_318358000001383047,zcrm_318358000006116425,Planned
zcrm_318358000006116459,zcrm_318358000001383047,zcrm_318358000006116445,Planned
zcrm_318358000006116479,zcrm_318358000001383047,zcrm_318358000006116465,Planned
zcrm_318358000006116499,zcrm_318358000001383047,zcrm_318358000006116485,Planned
zcrm_318358000006116519,zcrm_318358000001383047,zcrm_318358000006116505,Planned
zcrm_318358000006116539,zcrm_318358000001383047,zcrm_318358000006116525,Planned
zcrm_318358000006116559,zcrm_318358000001383047,zcrm_318358000006116545,Planned
zcrm_318358000006116579,zcrm_318358000001383047,zcrm_318358000006116565,Planned
zcrm_318358000006116599,zcrm_318358000001383047,zcrm_318358000006116585,Planned
zcrm_318358000006116619,zcrm_318358000001383047,zcrm_318358000006116605,Planned
zcrm_318358000006116639,zcrm_318358000001383047,zcrm_318358000006116625,Planned
zcrm_318358000006116659,zcrm_318358000001383047,zcrm_318358000006116645,Planned
zcrm_318358000006116679,zcrm_318358000001383047,zcrm_318358000006116665,Planned
zcrm_318358000006141016,zcrm_318358000001383047,zcrm_318358000006141002,Planned
zcrm_318358000006141036,zcrm_318358000001383047,zcrm_318358000006141022,Planned
zcrm_318358000006141056,zcrm_318358000001383047,zcrm_318358000006141042,Planned
zcrm_318358000006141076,zcrm_318358000001383047,zcrm_318358000006141062,Planned
zcrm_318358000006141109,zcrm_318358000001383047,zcrm_318358000006141095,Planned
zcrm_318358000006141129,zcrm_318358000001383047,zcrm_318358000006141115,Planned
zcrm_318358000006141149,zcrm_318358000001383047,zcrm_318358000006141135,Planned
zcrm_318358000006141169,zcrm_318358000001383047,zcrm_318358000006141155,Planned
zcrm_318358000006141189,zcrm_318358000001383047,zcrm_318358000006141175,Planned
zcrm_318358000006141209,zcrm_318358000001383047,zcrm_318358000006141195,Planned
zcrm_318358000006141229,zcrm_318358000001383047,zcrm_318358000006141215,Planned
zcrm_318358000006141249,zcrm_318358000001383047,zcrm_318358000006141235,Planned
zcrm_318358000006141269,zcrm_318358000001383047,zcrm_318358000006141255,Planned
zcrm_318358000006141289,zcrm_318358000001383047,zcrm_318358000006141275,Planned
zcrm_318358000006141309,zcrm_318358000001383047,zcrm_318358000006141295,Planned
zcrm_318358000006141343,zcrm_318358000001383047,zcrm_318358000006141329,Planned
zcrm_318358000006141363,zcrm_318358000001383047,zcrm_318358000006141349,Planned
