Record Id,Campaign Owner.id,Type,Campaign Name,Status,Start Date,End Date,Expected Revenue,Budgeted Cost,Actual Cost,Expected Response,Numbers sent,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Description,Layout.id,Tag,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Parent Campaign.id,Survey Department,Survey Type,Survey,Survey URL,Department ID,Webinar Schedule,Webinar Duration,Webinar Launch URL,Webinar Registration URL,Integration Type,ROI,Campaign Subject,Sender Name,Sender Address,Reply-to Address,Event Name,Event Category,Event Start Date,Event End Date,Event Language,Backstage Portal,Event Location,Locked,Brand,Event Type,Record Status,Last Activity Time
zcrm_318358000000619009,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,2021-02-01 21:14:56,,,,,,,,,2021-01-18 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1277524329,https://meeting.zoho.eu/meeting/register?sessionId=1277524329,Zoho Webinar,,,,,,,,,,,,,false,,,Available,2021-02-01 22:14:56
zcrm_318358000000619010,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-01-25 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1236728757,https://meeting.zoho.eu/meeting/register?sessionId=1236728757,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619011,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-02-01 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1251715823,https://meeting.zoho.eu/meeting/register?sessionId=1251715823,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619012,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-02-08 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1250251674,https://meeting.zoho.eu/meeting/register?sessionId=1250251674,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619013,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-02-15 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1213890258,https://meeting.zoho.eu/meeting/register?sessionId=1213890258,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619014,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-02-22 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1210544493,https://meeting.zoho.eu/meeting/register?sessionId=1210544493,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619015,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-03-01 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1267064402,https://meeting.zoho.eu/meeting/register?sessionId=1267064402,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619016,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-03-08 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1222923361,https://meeting.zoho.eu/meeting/register?sessionId=1222923361,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619017,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-03-15 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1254915806,https://meeting.zoho.eu/meeting/register?sessionId=1254915806,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619018,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-03-22 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1213579709,https://meeting.zoho.eu/meeting/register?sessionId=1213579709,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619019,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-03-29 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1260903858,https://meeting.zoho.eu/meeting/register?sessionId=1260903858,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000000619020,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-04-05 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1283423772,https://meeting.zoho.eu/meeting/register?sessionId=1283423772,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000001283678,zcrm_318358000000245015,Google AdWords,Set Yourself Up in Germany,,,,,,19.817314,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-08 14:58:21,2021-04-08 14:58:21,EUR,1.000000000,,zcrm_318358000000032029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,Available,
zcrm_318358000001383047,zcrm_318358000000245015,Email,Geiger Gold,Planning,2021-04-01,2021-06-30,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 17:58:55,2021-04-19 17:58:55,EUR,1.000000000,,zcrm_318358000000032029,,,2022-09-04 12:27:31,2021-04-19 18:55:15,,,,,,,,,,,,,,,,,,,,,,,,,false,,,Available,2022-09-04 12:27:31
