Convert.id,Lead.id,Account.id,Contact.id,Potential.id,Lead Created Time,Converted Time,Converted By.id
zcrm_318358000000767015,zcrm_318358000000761003,,,,2021-02-01 20:44:40,2021-02-01 21:04:30,zcrm_318358000000245015
zcrm_318358000000771019,zcrm_318358000000389001,,,,2020-12-16 19:13:29,2021-02-01 22:14:56,zcrm_318358000000245015
zcrm_318358000000771042,zcrm_318358000000623414,,,,2021-01-18 11:38:08,2021-02-01 22:14:56,zcrm_318358000000245015
zcrm_318358000001324050,zcrm_318358000001174001,,zcrm_318358000001324044,,2021-03-25 21:36:41,2021-04-13 11:21:24,zcrm_318358000000245015
zcrm_318358000001438006,zcrm_318358000001413001,,,,2021-04-22 16:20:42,2021-04-26 15:38:34,zcrm_318358000000245015
zcrm_318358000001441046,zcrm_318358000001368001,,,zcrm_318358000001441036,2021-04-17 07:08:51,2021-04-27 16:26:01,zcrm_318358000000245015
zcrm_318358000002130023,zcrm_318358000001441005,,,,2021-04-27 13:38:35,2021-07-28 16:16:30,zcrm_318358000000245015
zcrm_318358000002785036,zcrm_318358000000421003,,zcrm_318358000002785023,,2020-12-21 12:07:03,2021-10-13 16:59:51,zcrm_318358000000245015
zcrm_318358000004805044,zcrm_318358000004500477,,,zcrm_318358000004805028,2022-03-27 11:36:48,2022-04-28 18:08:58,zcrm_318358000000245015
zcrm_318358000005471199,zcrm_318358000003023267,,zcrm_318358000005471193,,2021-11-08 19:08:35,2022-07-04 13:27:35,zcrm_318358000000245015
zcrm_318358000005471217,zcrm_318358000003360145,,,,2021-12-07 19:22:01,2022-07-04 13:27:35,zcrm_318358000000245015
zcrm_318358000005471232,zcrm_318358000003954024,,zcrm_318358000005471226,,2022-02-06 23:13:51,2022-07-04 13:27:35,zcrm_318358000000245015
zcrm_318358000005471248,zcrm_318358000004843001,,zcrm_318358000005471242,,2022-05-04 11:56:25,2022-07-04 13:27:36,zcrm_318358000000245015
zcrm_318358000005708025,zcrm_318358000002705293,,,zcrm_318358000005708008,2021-10-01 14:49:32,2022-07-23 09:11:48,zcrm_318358000000245015
zcrm_318358000006101788,zcrm_318358000001241009,,zcrm_318358000006101782,,2021-04-04 15:17:48,2022-09-04 12:26:54,zcrm_318358000000245015
zcrm_318358000006101808,zcrm_318358000001242007,,zcrm_318358000006101802,,2021-04-03 10:53:05,2022-09-04 12:26:54,zcrm_318358000000245015
zcrm_318358000006101828,zcrm_318358000001243003,,zcrm_318358000006101822,,2021-04-03 11:44:45,2022-09-04 12:26:55,zcrm_318358000000245015
zcrm_318358000006101848,zcrm_318358000001248001,,zcrm_318358000006101842,,2021-04-03 11:48:27,2022-09-04 12:26:55,zcrm_318358000000245015
zcrm_318358000006101868,zcrm_318358000001248019,,zcrm_318358000006101862,,2021-04-04 06:59:37,2022-09-04 12:26:55,zcrm_318358000000245015
zcrm_318358000006101888,zcrm_318358000001251005,,zcrm_318358000006101882,,2021-04-05 08:32:51,2022-09-04 12:26:55,zcrm_318358000000245015
zcrm_318358000006101908,zcrm_318358000001252003,,zcrm_318358000006101902,,2021-04-04 23:05:05,2022-09-04 12:26:55,zcrm_318358000000245015
zcrm_318358000006101928,zcrm_318358000001258003,,zcrm_318358000006101922,,2021-04-05 22:14:22,2022-09-04 12:26:56,zcrm_318358000000245015
zcrm_318358000006101948,zcrm_318358000001266001,,zcrm_318358000006101942,,2021-04-06 12:39:21,2022-09-04 12:26:56,zcrm_318358000000245015
zcrm_318358000006101968,zcrm_318358000001267007,,zcrm_318358000006101962,,2021-04-06 15:50:02,2022-09-04 12:26:56,zcrm_318358000000245015
zcrm_318358000006101988,zcrm_318358000001267029,,zcrm_318358000006101982,,2021-04-07 07:39:13,2022-09-04 12:26:56,zcrm_318358000000245015
