Record Id,Title,Location,All day,From,To,Host.id,Contact Name.id,Related To.id,Repeat,Reminder,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Description,Check-In Time,Check-In By.id,Check-In Comment,Check-In Sub-Locality,Check-In City,Check-In State,Check-In Country,Latitude,Longitude,Zip Code,Check-In Address,Checked In Status,Layout.id,From,To,Tag,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Participants Reminder,BookingId,Booking Summary,Record Status,Last Activity Time,UID,Recurrence Id
zcrm_318358000000651001,Call with Logan,,false,2021-01-22 10:00:00,2021-01-22 11:00:00,zcrm_318358000000245015,zcrm_318358000000644014,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-19 15:24:13,2021-01-19 15:24:13,EUR,1.000000000,"Customer Additional Info
Country of Residence : Germany


Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1231403360
Join Link : https://meeting.zoho.eu/join?key=1231403360&t=ee118d8e5fd70e1b036f44602dba9c04c6ff7d455c8240c3a5f6e51f3f3acbe0
Meeting Key : 1231403360",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-01-22 10:00:00,2021-01-22 11:00:00,,,,,,,EX-00011,https://analysis.expatwealthgroup.com/#/customer/consultation/invoice/S7%2BQuv5Yl8pIsbQJJ99lpV6HjNeaTczUmd0jQOCQ85Gdx7%2BssD8balsDgQr1F5G7,Available,,318358000000651001,
zcrm_318358000000730014,Client,,false,2021-01-29 08:00:00,2021-01-29 09:30:00,zcrm_318358000000245015,zcrm_318358000000731004,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-29 06:05:53,2021-01-29 06:05:53,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1216381405
Join Link : https://meeting.zoho.eu/join?key=1216381405&t=4e959d2e2729a4f78e2d8812f0a4e20f9ed65a281236a17edd9ce0b1b7c0c1c3
Meeting Key : 1216381405",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-01-29 08:00:00,2021-01-29 09:30:00,,,,,,,AL-00018,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/Zq3sMzH0xMkqEOu%2FcZQekAPZyNt0Am6Eo6ETpTzPdUnsk1wljFlAX5gWU5rzynDv,Available,,318358000000730014,
zcrm_318358000000818010,Independent,,false,2021-02-07 13:00:00,2021-02-07 14:30:00,zcrm_318358000000245015,zcrm_318358000000808026,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-07 12:12:13,2021-02-07 12:12:13,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1224712158
Join Link : https://meeting.zoho.eu/join?key=1224712158&t=69581cc7a7efc7fa8507d432fc73e46f1322b71387e2fb964241a97b8c29e326
Meeting Key : 1224712158",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-02-07 13:00:00,2021-02-07 14:30:00,,,,,,,AL-00020,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/Su6I1sHRkAzUQ%2FAmrj%2FTo0cCL%2FTV4IWD5QI8BUMqeUSqvRjP%2BfKiInZEh4GFVn76,Available,,318358000000818010,
zcrm_318358000000832015,Consumer,,false,2021-02-11 15:00:00,2021-02-11 16:30:00,zcrm_318358000000245015,zcrm_318358000000829016,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-10 11:07:10,2021-02-10 11:07:10,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1277445084
Join Link : https://meeting.zoho.eu/join?key=1277445084&t=dbd1d92067ebdddca7be3179c39a6457a12a7959b0a8f5af3640dcd1154a89bf
Meeting Key : 1277445084",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-02-11 15:00:00,2021-02-11 16:30:00,,,,,,,AL-00024,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/evtuh%2FiosSpLNQ0gWDRdWo2bL3V2tXYaB3%2Fzr3%2FyQjTnzKqsI9xzdzdd2xyvCE%2Fz,Available,,318358000000832015,
zcrm_318358000000855021,Client,,false,2021-02-14 17:00:00,2021-02-14 18:30:00,zcrm_318358000000245015,zcrm_318358000000854022,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-14 15:26:04,2021-02-14 15:26:04,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1225675592
Join Link : https://meeting.zoho.eu/join?key=1225675592&t=54d9074e651bcd938db7fa3154f6f1f5fc57134e035b56dbb302479dbccd7f0a
Meeting Key : 1225675592",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-02-14 17:00:00,2021-02-14 18:30:00,,,,,,,AL-00027,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/M9jvOmDTrPx%2Bjzywkj01VnD2UBaMDQ7PHQoyodgJcgK%2BNNuFle38GmZyTh2BlLfz,Available,,318358000000855021,
zcrm_318358000000860020,Independent,,false,2021-02-16 16:00:00,2021-02-16 17:30:00,zcrm_318358000000245015,zcrm_318358000006099810,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-15 11:32:05,2022-09-23 17:58:20,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1225899297
Join Link : https://meeting.zoho.eu/join?key=1225899297&t=51cb86daab5a683581c8747c229a96c8a8825c2a51e5d04f7eb730edfceedf1b
Meeting Key : 1225899297",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-02-16 16:00:00,2021-02-16 17:30:00,,,,,2022-09-23 17:58:20,,AL-00028,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/JjPEUV7fTZDMA8m0RWsZaN7w70FsEbJrzs0f3wmkhLVDuAVi3jFqNc1bxQnd9G2j,Available,2022-09-23 17:58:20,318358000000860020,
zcrm_318358000000883002,Tobias kommt nach Köln,Zülpicher Wall 16,false,2021-02-17 14:00:00,2021-02-17 15:00:00,zcrm_318358000000245015,,,,2021-02-17 12:45:00.0,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-16 15:33:01,2021-02-16 15:33:01,EUR,1.000000000,Er sollte mich auch identifizieren für ein Produkt - can't remember which one,,,,,,,,,,,,PLANNED,,2021-02-17 14:00:00,2021-02-17 15:00:00,,,,,,,,,Available,,318358000000883002,
zcrm_318358000000929004,Client,,false,2021-02-28 18:00:00,2021-02-28 19:30:00,zcrm_318358000000245015,zcrm_318358000000854022,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-24 12:26:01,2021-02-24 12:26:01,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1241802305
Join Link : https://meeting.zoho.eu/join?key=1241802305&t=a48edd19932c3774c93c2824cdb80695ce29264628fa6e729d4feed5a85db8eb
Meeting Key : 1241802305",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-02-28 18:00:00,2021-02-28 19:30:00,,,,,,,AL-00032,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/jKt4naBMyzRcSUr%2FUNiQwaJEYpihica9FJF1Quk2V%2B34v9PEMPMrH7Ubj6C0jP6Q,Available,,318358000000929004,
zcrm_318358000000931003,Independent,,false,2021-02-25 13:45:00,2021-02-25 15:15:00,zcrm_318358000000245015,zcrm_318358000000943001,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-25 13:33:06,2021-02-25 13:33:06,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1297766091
Join Link : https://meeting.zoho.eu/join?key=1297766091&t=c563f655aadc525fb52d590b20c561e4516b151e3e1bab5c6f0aa446e2658cc3
Meeting Key : 1297766091",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-02-25 13:45:00,2021-02-25 15:15:00,,,,,,,AL-00033,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/uOYCZXjAawY2VLLb5izFbUher5MgSrh%2B3IxOvdnw3uJh4aDnYZYS0IHSCP8sUJY3,Available,,318358000000931003,
zcrm_318358000001005014,Independent,,false,2021-03-12 11:00:00,2021-03-12 12:30:00,zcrm_318358000000245015,zcrm_318358000000999003,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-03-08 16:38:09,2021-03-08 16:38:09,EUR,1.000000000,"Meeting Info
Start Link : https://meeting.zoho.eu/meeting/meeting-start?key=1227629932
Join Link : https://meeting.zoho.eu/join?key=1227629932&t=fe5341866593970a1cb0c712f4537b80fa7d039962816755951cf811bc25d7f8
Meeting Key : 1227629932",,,,,,,,,,,,PLANNED,zcrm_318358000000032037,2021-03-12 11:00:00,2021-03-12 12:30:00,,,,,,,AL-00040,https://analysis.expatwealthgroup.com/#/customer/allfinanz/invoice/%2BTtDnogbmaq2N%2BllGfRyxxWQMhAXye4Ez6GtbssFy04XK6syuCgFy%2BYg1Ow5K5gV,Available,,318358000001005014,
