Record.id,Shared To.id,Permission Type,Sharing Source,Shared By.id,Shared Time,Shared From.id,Share Related Records
zcrm_318358000000730014,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-01-29 09:04:37,zcrm_318358000000731004,false
zcrm_318358000000744017,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-01-29 09:27:34,zcrm_318358000000731004,false
zcrm_318358000000832015,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-09 12:10:36,zcrm_318358000000829016,false
zcrm_318358000000855021,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-22 18:40:13,zcrm_318358000000854022,false
zcrm_318358000000860020,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-08 14:15:28,zcrm_318358000000846029,false
zcrm_318358000000891003,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-08 14:15:28,zcrm_318358000000846029,false
zcrm_318358000000929004,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-22 18:40:13,zcrm_318358000000854022,false
zcrm_318358000000931003,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-25 17:47:35,zcrm_318358000000943001,false
zcrm_318358000000958009,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-18 21:04:54,zcrm_318358000000952021,false
zcrm_318358000000959017,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-18 21:04:54,zcrm_318358000000952021,false
zcrm_318358000001017001,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-25 17:47:35,zcrm_318358000000943001,false
zcrm_318358000001103008,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-22 18:40:13,zcrm_318358000000854022,false
zcrm_318358000001129003,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-23 18:07:15,zcrm_318358000000854022,false
zcrm_318358000001130018,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-23 18:07:41,zcrm_318358000000854022,false
zcrm_318358000001450003,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-28 17:39:54,zcrm_318358000000854022,false
zcrm_318358000001524007,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-05-06 12:11:35,zcrm_318358000000829016,false
zcrm_318358000001526001,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-05-06 12:09:34,zcrm_318358000000829016,false
zcrm_318358000001526007,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-05-06 12:11:25,zcrm_318358000000829016,false
zcrm_318358000001734008,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-06-01 16:45:26,zcrm_318358000000943001,false
zcrm_318358000001810008,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-06-22 17:48:34,zcrm_318358000000943001,false
zcrm_318358000001994001,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-07-15 18:40:49,zcrm_318358000000943001,false
zcrm_318358000006274005,zcrm_318358000000307144,,0,zcrm_318358000000245015,2022-09-19 17:27:46,zcrm_318358000000854022,false
zcrm_318358000011216004,zcrm_318358000000307144,,0,zcrm_318358000000245015,2024-01-25 18:00:00,zcrm_318358000000854022,false
zcrm_318358000014056002,zcrm_318358000000307144,,0,zcrm_318358000000245015,2024-08-28 13:55:29,zcrm_318358000000943001,false
zcrm_318358000000651001,zcrm_318358000000307150,,0,zcrm_318358000000245015,2021-01-22 10:38:46,zcrm_318358000000644014,false
zcrm_318358000006164003,zcrm_318358000000307150,,0,zcrm_318358000000245015,2022-09-06 08:27:21,zcrm_318358000005771016,false
zcrm_318358000010115009,zcrm_318358000000307150,,0,zcrm_318358000000245015,2023-10-18 21:07:50,zcrm_318358000002097037,false
zcrm_318358000010136002,zcrm_318358000000307150,,0,zcrm_318358000000245015,2023-10-19 17:50:00,zcrm_318358000002097037,false
zcrm_318358000010580001,zcrm_318358000000307150,,0,zcrm_318358000000245015,2023-11-28 13:37:07,zcrm_318358000002097037,false
zcrm_318358000010812003,zcrm_318358000000307150,,0,zcrm_318358000000245015,2023-12-19 13:21:57,zcrm_318358000002097037,false
zcrm_318358000011764003,zcrm_318358000000307150,,0,zcrm_318358000000245015,2024-03-07 11:10:43,zcrm_318358000002097037,false
zcrm_318358000011764011,zcrm_318358000000307150,,0,zcrm_318358000000245015,2024-03-07 12:36:22,zcrm_318358000002097037,false
zcrm_318358000012846001,zcrm_318358000000307150,,0,zcrm_318358000000245015,2024-05-28 16:41:01,zcrm_318358000002097037,false
