Record Id,Deal Name.id,Stage,Stage Duration (Calendar Days),Modified By.id,Modified Time,Amount,Probability (%),Expected Revenue,Closing Date,Exchange Rate,Currency,Stage Duration (Time),Last Activity Time,Moved To
zcrm_318358000001215029,zcrm_318358000001215028,Proposal/Price Quote,12,zcrm_318358000000245015,2021-03-31 16:00:39,927.0,75,695.25,2021-04-30,1.000000000,EUR,11 days 20 hours 16 minutes,2021-04-12 12:17:16,Closed Won
zcrm_318358000001294046,zcrm_318358000001294045,Negotiation/Review,33,zcrm_318358000000245015,2021-04-08 18:56:15,1000.0,90,900.0,2021-04-16,1.000000000,EUR,32 days 23 hours 24 minutes,2021-05-11 18:20:48,Closed Won
zcrm_318358000001321016,zcrm_318358000001215028,Closed Won,,zcrm_318358000000245015,2021-04-12 12:17:16,765.0,100,765.0,2021-04-12,1.000000000,EUR,,2021-04-12 12:17:16,
zcrm_318358000001323061,zcrm_318358000001323060,Negotiation/Review,101,zcrm_318358000000245015,2021-04-12 21:27:51,740.0,90,666.0,2021-04-23,1.000000000,EUR,100 days 17 hours 4 minutes,2021-07-22 14:31:59,Closed Won
zcrm_318358000001400017,zcrm_318358000001400016,Negotiation/Review,21,zcrm_318358000000245015,2021-04-20 13:26:46,30.0,95,28.5,2021-04-30,1.000000000,EUR,21 days 4 hours 53 minutes,2021-05-11 18:20:25,Closed Won
zcrm_318358000001441038,zcrm_318358000001441036,Qualification,,zcrm_318358000000245015,2021-04-27 16:26:00,0.0,10,0.0,2021-05-31,1.000000000,EUR,,2021-04-27 16:26:00,
zcrm_318358000001566020,zcrm_318358000001400016,Closed Won,,zcrm_318358000000245015,2021-05-11 18:20:25,30.0,100,30.0,2021-04-30,1.000000000,EUR,,2021-05-11 18:20:25,
zcrm_318358000001566030,zcrm_318358000001294045,Closed Won,,zcrm_318358000000245015,2021-05-11 18:20:48,850.0,100,850.0,2021-04-19,1.000000000,EUR,,2021-05-11 18:20:48,
zcrm_318358000002042006,zcrm_318358000001323060,Closed Won,,zcrm_318358000000245015,2021-07-22 14:31:59,740.0,100,740.0,2021-07-20,1.000000000,EUR,,2021-07-22 14:31:59,
zcrm_318358000004805030,zcrm_318358000004805028,Needs Analysis,,zcrm_318358000000245015,2022-04-28 18:08:58,400.0,20,80.0,2022-05-31,1.000000000,EUR,,2022-04-28 18:08:58,
zcrm_318358000005708010,zcrm_318358000005708008,Closed Lost,,zcrm_318358000000245015,2022-07-23 09:11:48,1000.0,0,0.0,2021-10-31,1.000000000,EUR,,2022-07-23 09:11:48,
