Record Id,Vendor Name,Phone,Email,Website,GL Account,Category,Vendor Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Street,City,State,Zip Code,Country,Description,Layout.id,Tag,Vendor Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Locked,Record Status,Email Opt Out,Unsubscribed Mode,Unsubscribed Time,Last Activity Time
zcrm_318358000000676028,Concious Birth,+491783013176,claireb@conscious-birth.com,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-22 12:20:57,2021-01-22 12:20:57,EUR,1.000000000,,,,,,,,,,,,,,false,Available,false,,,
zcrm_318358000000780001,Microsoft 365,,microsoft-noreply@microsoft.com,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-03 12:04:10,2021-02-03 12:04:10,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000000802020,Allfinanz - DVAG,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2021-02-05 15:58:28,2022-07-29 09:39:35,EUR,1.000000000,,,,,,,,,,,,,2022-07-29 09:39:35,false,Available,false,,,2022-07-29 09:39:35
zcrm_318358000002038079,Rotonda Business Club,+492219977560,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-03 22:05:21,2017-02-03 22:05:21,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000002038080,Linkspiel,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-03 22:09:01,2017-02-03 22:09:01,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000002038081,LDW,+4917630448145,logan.d.williams@gmail.com,,Sales-Software,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-06 14:17:14,2019-12-18 13:36:33,EUR,1.000000000,Zuelpicher Wall 16,Cologne,NRW,50674,Germany,Gewerbe,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000002038082,"Namecheap, Inc",,support@namecheap.com,www.namecheap.com,Sales-Software,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-10 08:16:57,2022-01-16 16:47:58,EUR,1.000000000,"4600 East Washington Street., Suite 305",Phoenix,Arizona,85034,United States,,zcrm_318358000000032059,,,2022-01-16 16:47:58,,,2022-01-16 16:34:00,false,Available,false,,,2022-01-16 16:47:58
zcrm_318358000002038083,Siteground,,,https://ua.siteground.com/billing.htm,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-10 10:39:50,2017-02-13 09:41:29,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000002038084,DR-WALTER,,,,Sales-Software,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2019-12-17 20:39:30,2019-12-17 20:39:30,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000002522004,Zahnpraxis Hansaring,+49 221 13 64 84,info@zahnpraxis-hansaring.de,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2021-09-02 16:56:02,2021-09-02 16:56:02,EUR,1.000000000,,,,,,,,,,,,,,false,Available,false,,,
zcrm_318358000003742482,HappyScribe,,,www.happyscribe.com,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-16 14:43:26,2022-01-16 14:43:26,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003743187,Santander,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-16 14:59:38,2022-01-16 14:59:38,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003751669,DeepL,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-16 16:49:39,2022-01-16 16:49:39,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003751674,BMW Bank GmbH,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-16 16:58:12,2022-07-29 11:40:00,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,2022-07-29 11:40:00,false,Available,false,,,2022-07-29 11:40:00
zcrm_318358000003753294,N26 Bank,,,n26.com,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-16 16:52:55,2022-01-16 16:52:55,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003753299,nila e.V.,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-16 16:55:59,2022-01-16 16:55:59,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003881023,Büro Bloock,+4922195491221,,https://buerobloock.de/,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 11:46:26,2022-02-22 14:05:50,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,2022-02-07 14:57:38,2022-02-22 14:05:50,false,Available,false,,,2022-02-22 14:05:50
zcrm_318358000003882007,DR SMILE - BFS,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 21:23:28,2022-01-29 21:23:28,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003884009,Random Gastro Hospitality,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-30 18:22:01,2022-01-30 18:22:01,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003885008,TargoBank AG,+4921156156053,foma@targobank.de,www.targobank.de/zahlungshilfe,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 20:52:28,2022-02-23 16:39:47,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,2022-02-23 16:39:47,false,Available,false,,,2022-02-23 16:39:47
zcrm_318358000003886001,Aral,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 09:39:16,2022-01-29 09:39:16,EUR,1.000000000,,,,,,Also look into getting the fleet deal.,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003886008,The Black Sheep Irish Pub,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 11:20:32,2022-01-29 11:20:32,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003886013,Jameson Distillery Pub,+492219123323,info@jamesonpubs.com,www.jamesonpubs.com,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 11:30:55,2022-01-29 11:30:55,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,,false,Available,false,,,
zcrm_318358000003887001,BDV - Bundesverband Deutscher Vermögensberater,+496925626130,bdv@bdv.de,https://bdv.de/,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 10:25:26,2022-07-29 14:10:13,EUR,1.000000000,Kleiner Hirschgraben 10-12,Frankfurt am Main,Hessen,60311,Germany,,zcrm_318358000000032059,,,2022-01-29 20:44:18,,2022-01-29 20:47:32,2022-07-29 14:10:13,false,Available,false,,,2022-07-29 14:10:13
zcrm_318358000003892001,cambio,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 21:29:24,2022-02-22 14:05:50,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,2022-02-22 14:05:50,false,Available,false,,,2022-02-22 14:05:50
zcrm_318358000003893001,KfW,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,zcrm_318358000000245015,2022-01-29 21:47:58,2022-01-31 16:46:18,EUR,1.000000000,,,,,,,zcrm_318358000000032059,,,,,,2022-01-31 16:46:18,false,Available,false,,,2022-01-31 16:46:18
