Field Id,Module Id,Label,Api Name,Field Data Type,Is Custom,Maximum Length,Decimal Places,Rounding Precision,Is Unique,Is Encrypt,Formula Return Type,Formula Decimal Places,Preifx,Suffix,Starting Number,Parent Module Id,Header Label
zcrm_318358000000000127,zcrm_318358000000000061,First Name,first_name,1,false,50,2,2,,,,,,,,,First Name
zcrm_318358000000000129,zcrm_318358000000000061,Last Name,last_name,127,false,50,2,2,,,,,,,,,Last Name
zcrm_318358000000000131,zcrm_318358000000000061,Email,email,25,false,100,2,2,,,,,,,,,Email
zcrm_318358000000000133,zcrm_318358000000000061,Alias,alias,1,false,50,2,2,,,,,,,,,Alias
zcrm_318358000000000137,zcrm_318358000000000061,Phone,phone,33,false,30,2,2,,,,,,,,,Phone
zcrm_318358000000000139,zcrm_318358000000000061,Mobile,mobile,33,false,30,2,2,,,,,,,,,Mobile
zcrm_318358000000000141,zcrm_318358000000000061,Website,website,21,false,250,2,2,,,,,,,,,Website
zcrm_318358000000000143,zcrm_318358000000000061,Fax,fax,35,false,30,2,2,,,,,,,,,Fax
zcrm_318358000000000145,zcrm_318358000000000061,Street,street,1,false,250,2,2,,,,,,,,,Street
zcrm_318358000000000147,zcrm_318358000000000061,City,city,1,false,100,2,2,,,,,,,,,City
zcrm_318358000000000149,zcrm_318358000000000061,State,state,1,false,100,2,2,,,,,,,,,State
zcrm_318358000000000151,zcrm_318358000000000061,Country,country,1,false,100,2,2,,,,,,,,,Country
zcrm_318358000000000153,zcrm_318358000000000061,Zip Code,zip,1,false,30,2,2,,,,,,,,,Zip Code
zcrm_318358000000000155,zcrm_318358000000000061,Language,locale,2,false,120,2,2,,,,,,,,,Language
zcrm_318358000000000157,zcrm_318358000000000061,Country Locale,country_locale,2,false,120,2,2,,,,,,,,,Country Locale
zcrm_318358000000000159,zcrm_318358000000000061,Time Zone,time_zone,2,false,120,2,2,,,,,,,,,Time Zone
zcrm_318358000000000161,zcrm_318358000000000063,Task Owner,Owner,8,false,120,2,2,,,,,,,,zcrm_318358000000000061,Task Owner.id
zcrm_318358000000000163,zcrm_318358000000000063,Subject,Subject,62,false,255,2,2,,,,,,,,,Subject
zcrm_318358000000000165,zcrm_318358000000000063,Due Date,Due_Date,24,false,120,2,2,,,,,,,,,Due Date
zcrm_318358000000000167,zcrm_318358000000000063,Who Id,Who_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000047,Contact Name.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000099,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000109,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000101,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000043,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000105,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000111,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000051,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000107,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000049,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000045,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000095,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000286005,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000286944,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000317001,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000317796,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000318807,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000319685,Related To.id
zcrm_318358000000000169,zcrm_318358000000000063,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000320531,Related To.id
zcrm_318358000000000171,zcrm_318358000000000063,Status,Status,2,false,120,2,2,,,,,,,,,Status
zcrm_318358000000000173,zcrm_318358000000000063,Priority,Priority,2,false,120,2,2,,,,,,,,,Priority
zcrm_318358000000000175,zcrm_318358000000000063,Send Notification Email,Send_Notification_Email,301,false,100,2,2,,,,,,,,,Send Notification Email
zcrm_318358000000000177,zcrm_318358000000000063,Recurring Activity,Recurring_Activity,123,false,100,2,2,,,,,,,,,Repeat
zcrm_318358000000000179,zcrm_318358000000000063,Remind At,Remind_At,786,false,100,2,2,,,,,,,,,Reminder
zcrm_318358000000000181,zcrm_318358000000000063,Created By,Created_By,20,false,25,2,2,,,,,,,,zcrm_318358000000000061,Created By.id
zcrm_318358000000000183,zcrm_318358000000000063,Modified By,Modified_By,20,false,25,2,2,,,,,,,,zcrm_318358000000000061,Modified By.id
zcrm_318358000000000185,zcrm_318358000000000063,Created Time,Created_Time,200,false,25,2,2,,,,,,,,,Created Time
zcrm_318358000000000187,zcrm_318358000000000063,Modified Time,Modified_Time,200,false,25,2,2,,,,,,,,,Modified Time
zcrm_318358000000000189,zcrm_318358000000000063,Currency,Currency,39,false,5,2,2,,,,,,,,,Currency
zcrm_318358000000000191,zcrm_318358000000000063,Exchange Rate,Exchange_Rate,40,false,19,9,2,,,,,,,,,Exchange Rate
zcrm_318358000000000193,zcrm_318358000000000063,Description,Description,3,false,32000,2,2,,,,,,,,,Description
zcrm_318358000000000195,zcrm_318358000000000065,Meeting Title,Event_Title,1,false,255,2,2,,,,,,,,,Title
zcrm_318358000000000197,zcrm_318358000000000065,Venue,Venue,1,false,255,2,2,,,,,,,,,Location
zcrm_318358000000000199,zcrm_318358000000000065,All day,All_day,301,false,120,2,2,,,,,,,,,All day
zcrm_318358000000000201,zcrm_318358000000000065,Start DateTime,Start_DateTime1,14,false,120,2,2,,,,,,,,,From
zcrm_318358000000000203,zcrm_318358000000000065,End DateTime,End_DateTime1,14,false,120,2,2,,,,,,,,,To
zcrm_318358000000000205,zcrm_318358000000000065,Meeting Owner,Owner,8,false,120,2,2,,,,,,,,zcrm_318358000000000061,Host.id
zcrm_318358000000000207,zcrm_318358000000000065,Who Id,Who_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000047,Contact Name.id
zcrm_318358000000000209,zcrm_318358000000000065,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000099,Related To.id
zcrm_318358000000000209,zcrm_318358000000000065,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000109,Related To.id
zcrm_318358000000000209,zcrm_318358000000000065,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000101,Related To.id
zcrm_318358000000000209,zcrm_318358000000000065,What Id,What_Id,4,false,120,2,2,,,,,,,,zcrm_318358000000000043,Related To.id
