Module Id,Name,Label,Api Name,Singular Label,Module Type,Web Link,Visibility,Parent Module Id,Modified By,Modified Time
zcrm_318358000000000043,Leads,Leads,Leads,Lead,1,,1,,zcrm_318358000000245015,2023-03-06 17:23:39
zcrm_318358000000000045,Accounts,Accounts,Accounts,Account,1,,1,,zcrm_318358000000245015,2022-07-24 12:13:32
zcrm_318358000000000047,Contacts,Contacts,Contacts,Contact,1,,1,,zcrm_318358000000245015,2023-03-06 16:33:00
zcrm_318358000000000049,Potentials,Deals,Deals,Deal,1,,1,,zcrm_318358000000245015,2023-03-06 16:33:06
zcrm_318358000000000051,Campaigns,Campaigns,Campaigns,Campaign,1,,1,,zcrm_318358000000245015,2022-06-14 21:39:18
zcrm_318358000000000061,Users,Users,users,User,1,,1,,,
zcrm_318358000000000063,Tasks,Tasks,Tasks,Task,1,,1,,zcrm_318358000000245015,2023-03-06 16:33:01
zcrm_318358000000000065,Events,Meetings,Events,Meeting,1,,1,,zcrm_318358000000245015,2023-03-06 16:33:01
zcrm_318358000000000067,Calls,Calls,Calls,Call,1,,1,,zcrm_318358000000245015,2023-03-06 16:33:02
zcrm_318358000000000069,Notes,Notes,Notes,Note,1,,1,,,
zcrm_318358000000000071,Competitors,Competitors,Competitors,Competitor,1,,1,,,
zcrm_318358000000000073,Forecasts,Forecasts,Forecasts,Forecast,1,,1,,,
zcrm_318358000000000093,Visits,Visits,Visits,Visit,1,,1,,,
zcrm_318358000000000095,Cases,Cases,Cases,Case,1,,1,,,
zcrm_318358000000000097,Solutions,Solutions,Solutions,Solution,1,,1,,,
zcrm_318358000000000099,Products,Products,Products,Product,1,,1,,,
zcrm_318358000000000101,Vendors,Vendors,Vendors,Vendor,1,,1,,,
zcrm_318358000000000103,PriceBooks,Price Books,Price_Books,Price Book,1,,1,,,
zcrm_318358000000000105,Quotes,Quotes,Quotes,Quote,1,,1,,zcrm_318358000000245015,2023-03-06 16:33:03
zcrm_318358000000000107,SalesOrders,Sales Orders,Sales_Orders,Sales Order,1,,1,,zcrm_318358000000245015,2023-03-06 16:33:03
zcrm_318358000000000109,PurchaseOrders,Purchase Orders,Purchase_Orders,Purchase Order,1,,1,,,
