PickList Id,Field Id,Layout Id,Value,Actual Value,Sort Order,Api Name,Default Value,Is System Value,Is Customized,Is Restricted,Is Default,Color Code,Category,Allowed Time
zcrm_318358000000002259,zcrm_318358000000000235,zcrm_318358000000032041,Outbound,Outbound,1,Empty_Option,,true,false,,true,,,
zcrm_318358000000002261,zcrm_318358000000000235,zcrm_318358000000032041,Inbound,Inbound,2,Empty_Option1,,true,false,,false,,,
zcrm_318358000000002263,zcrm_318358000000000237,zcrm_318358000000032041,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_318358000000002265,zcrm_318358000000000237,zcrm_318358000000032041,Prospecting,Prospecting,2,Empty_Option1,,true,false,,true,,,
zcrm_318358000000002267,zcrm_318358000000000237,zcrm_318358000000032041,Administrative,Administrative,3,Empty_Option2,,true,false,,,,,
zcrm_318358000000002269,zcrm_318358000000000237,zcrm_318358000000032041,Negotiation,Negotiation,4,Empty_Option3,,true,false,,,,,
zcrm_318358000000002271,zcrm_318358000000000237,,Demo,Demo,5,Empty_Option4,,true,false,,,,,
zcrm_318358000000002273,zcrm_318358000000000237,zcrm_318358000000032041,Project,Project,6,Empty_Option5,,true,false,,,,,
zcrm_318358000000002275,zcrm_318358000000000237,zcrm_318358000000032041,Desk,Support,7,Empty_Option6,,true,false,,,,,
zcrm_318358000000002277,zcrm_318358000000000711,zcrm_318358000000032015,New,New,1,Empty_Option,,true,false,,,,,
zcrm_318358000000002279,zcrm_318358000000000711,zcrm_318358000000032015,On Hold,On Hold,2,Empty_Option1,,true,false,,,,,
zcrm_318358000000002281,zcrm_318358000000000711,zcrm_318358000000032015,Escalated,Escalated,3,Empty_Option2,,true,false,,,,,
zcrm_318358000000002283,zcrm_318358000000000711,zcrm_318358000000032015,Closed,Closed,4,Empty_Option3,,true,false,,,,,
zcrm_318358000000002285,zcrm_318358000000000715,zcrm_318358000000032015,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_318358000000002287,zcrm_318358000000000715,zcrm_318358000000032015,High,High,2,Empty_Option1,,true,false,,,,,
zcrm_318358000000002289,zcrm_318358000000000715,zcrm_318358000000032015,Medium,Medium,3,Empty_Option2,,true,false,,,,,
zcrm_318358000000002291,zcrm_318358000000000715,zcrm_318358000000032015,Low,Low,4,Empty_Option3,,true,false,,,,,
zcrm_318358000000002293,zcrm_318358000000000717,zcrm_318358000000032015,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_318358000000002295,zcrm_318358000000000717,zcrm_318358000000032015,Problem,Problem,2,Empty_Option1,,true,false,,,,,
zcrm_318358000000002297,zcrm_318358000000000717,zcrm_318358000000032015,Feature Request,Feature Request,3,Empty_Option2,,true,false,,,,,
zcrm_318358000000002299,zcrm_318358000000000717,zcrm_318358000000032015,Question,Question,4,Empty_Option3,,true,false,,,,,
zcrm_318358000000002301,zcrm_318358000000000719,zcrm_318358000000032015,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_318358000000002303,zcrm_318358000000000719,zcrm_318358000000032015,Email,Email,2,Empty_Option1,,true,false,,,,,
zcrm_318358000000002305,zcrm_318358000000000719,zcrm_318358000000032015,Phone,Phone,3,Empty_Option2,,true,false,,,,,
zcrm_318358000000002307,zcrm_318358000000000719,zcrm_318358000000032015,Web,Web,4,Empty_Option3,,true,false,,,,,
zcrm_318358000000002309,zcrm_318358000000000771,zcrm_318358000000032011,Draft,Draft,1,Empty_Option,,true,false,,,,,
zcrm_318358000000002311,zcrm_318358000000000771,zcrm_318358000000032011,Reviewed,Reviewed,2,Empty_Option1,,true,false,,,,,
