Tag Id,Module Id,Tag Name,Created By Id,Modified By Id,Created Time,Modified Time,Tag Module Ref Id,Status
zcrm_318358000000421012,zcrm_318358000000000043,sports club,zcrm_318358000000245015,zcrm_318358000000245015,2020-12-21 11:07:04,2020-12-21 11:07:04,1,true
zcrm_318358000000421013,zcrm_318358000000000043,volunteer,zcrm_318358000000245015,zcrm_318358000000245015,2020-12-21 11:07:04,2020-12-21 11:07:04,2,true
zcrm_318358000000421014,zcrm_318358000000000043,facebook,zcrm_318358000000245015,zcrm_318358000000245015,2020-12-21 11:07:04,2020-12-21 11:07:04,3,true
zcrm_318358000000603034,zcrm_318358000000000047,ESN,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-13 14:37:39,2021-01-13 14:37:39,1,true
zcrm_318358000000603035,zcrm_318358000000000047,Student Clubs,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-13 14:37:39,2021-01-13 14:37:39,2,true
zcrm_318358000000603057,zcrm_318358000000000047,Facebook,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-13 15:13:51,2021-01-13 15:13:51,3,true
zcrm_318358000000603064,zcrm_318358000000000047,personal contact,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-13 15:14:10,2021-01-13 15:14:10,4,true
zcrm_318358000000676065,zcrm_318358000000000047,Entrepreneurs in DE,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-22 11:24:46,2021-01-22 11:24:46,5,true
zcrm_318358000002785017,zcrm_318358000000000047,sports club,zcrm_318358000000245015,zcrm_318358000000245015,2021-10-13 14:59:50,2021-10-13 14:59:50,6,true
zcrm_318358000002785018,zcrm_318358000000000047,volunteer,zcrm_318358000000245015,zcrm_318358000000245015,2021-10-13 14:59:50,2021-10-13 14:59:50,7,true
zcrm_318358000005721068,zcrm_318358000000000047,DDK-Komillitonen,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-25 12:53:27,2022-07-25 12:53:27,8,true
zcrm_318358000005808019,zcrm_318358000000000047,WSE Alumnus,zcrm_318358000000245015,zcrm_318358000000245015,2022-08-01 07:27:57,2022-08-01 07:27:57,9,true
