Translation Id,Language Code,Translated Value,Type
zcrm_318358000000002265,zcrm_en_US,Prospecting,1
zcrm_318358000000002267,zcrm_en_US,Administrative,1
zcrm_318358000000002269,zcrm_en_US,Negotiation,1
zcrm_318358000000002273,zcrm_en_US,Project,1
zcrm_318358000000002275,zcrm_en_US,Desk,1
zcrm_318358000000002411,zcrm_en_US,Advertisement,1
zcrm_318358000000002413,zcrm_en_US,Cold Call,1
zcrm_318358000000002415,zcrm_en_US,Employee Referral,1
zcrm_318358000000002417,zcrm_en_US,External Referral,1
zcrm_318358000000002419,zcrm_en_US,Partner,1
zcrm_318358000000002421,zcrm_en_US,Public Relations,1
zcrm_318358000000002423,zcrm_en_US,Trade Show,1
zcrm_318358000000002425,zcrm_en_US,Web Form,1
zcrm_318358000000002427,zcrm_en_US,Search Engine,1
zcrm_318358000000002429,zcrm_en_US,Social Tab,1
zcrm_318358000000002433,zcrm_en_US,Advertisement,1
zcrm_318358000000002435,zcrm_en_US,Cold Call,1
zcrm_318358000000002437,zcrm_en_US,Referral,1
zcrm_318358000000002441,zcrm_en_US,Partner,1
zcrm_318358000000002445,zcrm_en_US,Trade Show,1
zcrm_318358000000002447,zcrm_en_US,Web Form,1
zcrm_318358000000002449,zcrm_en_US,Search Engine,1
zcrm_318358000000002451,zcrm_en_US,Social-Facebook,1
zcrm_318358000000002453,zcrm_en_US,Social-Twitter,1
zcrm_318358000000002455,zcrm_en_US,Pre-Qualified,1
zcrm_318358000000002457,zcrm_en_US,Contacted,1
zcrm_318358000000002459,zcrm_en_US,Contact in Future,1
zcrm_318358000000002461,zcrm_en_US,Not Contacted,1
zcrm_318358000000002463,zcrm_en_US,Attempted to Contact,1
zcrm_318358000000002465,zcrm_en_US,Lost Lead,1
zcrm_318358000000002469,zcrm_en_US,Junk Lead,1
zcrm_318358000000092001,zcrm_en_US,Not Qualified,1
zcrm_318358000000165003,zcrm_en_US,Interested,1
zcrm_318358000000165005,zcrm_en_US,Not interested,1
zcrm_318358000000165007,zcrm_en_US,No response/Busy,1
zcrm_318358000000165009,zcrm_en_US,Requested more info,1
zcrm_318358000000165011,zcrm_en_US,Requested call back,1
zcrm_318358000000165013,zcrm_en_US,Invalid number,1
zcrm_318358000000251407,zcrm_en_US,Online Store,1
zcrm_318358000000251409,zcrm_en_US,Seminar Partner,1
zcrm_318358000000251411,zcrm_en_US,Web Download,1
zcrm_318358000000304027,zcrm_en_US,BookingId,2
zcrm_318358000000304036,zcrm_en_US,Booking Summary,2
zcrm_318358000000309112,zcrm_en_US,Average monthly income,2
zcrm_318358000000309120,zcrm_en_US,Average monthly income,2
zcrm_318358000000309126,zcrm_en_US,Average monthly income,2
zcrm_318358000000309134,zcrm_en_US,Average monthly income,2
zcrm_318358000000309140,zcrm_en_US,Expected retirement income,2
zcrm_318358000000309148,zcrm_en_US,Expected retirement income,2
zcrm_318358000000309154,zcrm_en_US,Expected retirement income,2
zcrm_318358000000309162,zcrm_en_US,Expected retirement income,2
zcrm_318358000000312888,zcrm_en_US,Gehaltsabrechnung - income statement,2
zcrm_318358000000312894,zcrm_en_US,Renteninformation - retirement Statement,2
zcrm_318358000000409129,zcrm_en_US,Date of Birth,2
zcrm_318358000000410071,zcrm_en_US,dummy1,1
zcrm_318358000000410073,zcrm_en_US,dummy2,1
zcrm_318358000000410086,zcrm_en_US,dummy1,1
zcrm_318358000000410088,zcrm_en_US,dummy2,1
zcrm_318358000000593609,zcrm_en_US,Call attempt 1 > Trigger - Call unattended > Call,2
zcrm_318358000000593617,zcrm_en_US,Call attempt 1 > Trigger - Call unattended > CurrentRecord,2
zcrm_318358000000593629,zcrm_en_US,Lead answered the call > Trigger - Edit > EditedRecord,2
zcrm_318358000000593639,zcrm_en_US,Lead answered the call > Trigger - Edit > Module,2
zcrm_318358000000593649,zcrm_en_US,Scheduled call > Trigger - Create > CreatedRecord,2
zcrm_318358000000593659,zcrm_en_US,Scheduled call > Trigger - Create > Module,2
zcrm_318358000000593669,zcrm_en_US,Lead to Contact from manual attempt > Trigger - Convert > CreatedContact,2
zcrm_318358000000593677,zcrm_en_US,Lead to Contact from manual attempt > Trigger - Convert > CreatedDeal,2
zcrm_318358000000593685,zcrm_en_US,Lead to Contact from manual attempt > Trigger - Convert > CreatedAccount,2
zcrm_318358000000593699,zcrm_en_US,Lead to Contact from manual attempt > Trigger - Convert > ConvertedTime,2
zcrm_318358000000593705,zcrm_en_US,Lead was reached after schedule miss > Trigger - Edit > EditedRecord,2
zcrm_318358000000593715,zcrm_en_US,Lead was reached after schedule miss > Trigger - Edit > Module,2
zcrm_318358000000593725,zcrm_en_US,Lead incoming call > Trigger - Call received > Call,2
zcrm_318358000000593733,zcrm_en_US,Lead incoming call > Trigger - Call received > CurrentRecord,2
zcrm_318358000000593745,zcrm_en_US,Lead was reached > Trigger - Edit > EditedRecord,2
zcrm_318358000000593755,zcrm_en_US,Lead was reached > Trigger - Edit > Module,2
zcrm_318358000000593765,zcrm_en_US,Call attempt direct > Trigger - Call unattended > Call,2
zcrm_318358000000593773,zcrm_en_US,Call attempt direct > Trigger - Call unattended > CurrentRecord,2
zcrm_318358000000593785,zcrm_en_US,Lead incoming call from create > Trigger - Call received > Call,2
zcrm_318358000000593793,zcrm_en_US,Lead incoming call from create > Trigger - Call received > CurrentRecord,2
zcrm_318358000000593805,zcrm_en_US,Create Lead > Trigger - Create > CreatedRecord,2
